from,to,requires,notes
rm_start_0[100390],rm_start_0[100397],Charge_Jump | Rocket_Launcher | (Heavy_Ammo + (Shotgun | Sniper)) | (Shotgun + Sniper),
rm_start_0[100397],rm_start_0[100390],,
rm_start_0[100397],rm_tea_intro_0[109440],,
rm_tea_intro_0[109440],rm_tea_intro_0[109441],Grappling_Hook_Upgrade | (Grappling_Hook + (Charge_Jump | Shotgun | Rocket_Launcher | Sniper | bunny_hopping)) | (Charge_Jump + (Rocket_Launcher | Shotgun | Sniper)) | (Rocket_Launcher + (Shotgun | Sniper)) | (Shotgun + Sniper) | (Heavy_Ammo + (Sniper | (Shotgun + Energy_Disruptor))),
rm_tea_intro_0[109441],rm_tea_intro_0[109440],,
rm_tea_intro_0[109441],rm_tea_intro_1[109453],,
rm_start_0[100390],rm_start_1[100402],,
rm_start_1[100402],rm_start_1[100403],,
rm_start_1[100403],rm_start_1[100402],,
rm_start_1[100403],rm_start_2[100431],,
rm_start_2[100431],rm_start_2[100433],,
rm_start_2[100431],rm_start_2[100430],,
rm_start_2[100433],rm_start_2[100431],,
rm_start_2[100433],rm_start_2[100430],,
rm_start_2[100430],rm_start_2[100431],,
rm_start_2[100430],rm_start_2[100433],,
rm_start_2[100433],rm_start_2_alt[100832],,
rm_start_2[100430],rm_start_get_ability[100986],,
rm_start_get_ability[100986],rm_start_get_ability[100987],,
rm_start_get_ability[100987],rm_start_get_ability[100986],,
rm_start_get_ability[100987],rm_test_alt[100230],,
rm_test_alt[100230],rm_test_alt[100232],,
rm_test_alt[100230],rm_test_alt[100234],,
rm_test_alt[100230],rm_test_alt[100235],,
rm_test_alt[100230],rm_test_alt[100228],,
rm_test_alt[100232],rm_test_alt[100230],,
rm_test_alt[100232],rm_test_alt[100234],,
rm_test_alt[100232],rm_test_alt[100235],,
rm_test_alt[100232],rm_test_alt[100228],,
rm_test_alt[100234],rm_test_alt[100230],,
rm_test_alt[100234],rm_test_alt[100232],,
rm_test_alt[100234],rm_test_alt[100235],,
rm_test_alt[100234],rm_test_alt[100228],,
rm_test_alt[100235],rm_test_alt[100230],,
rm_test_alt[100235],rm_test_alt[100232],,
rm_test_alt[100235],rm_test_alt[100234],,
rm_test_alt[100235],rm_test_alt[100228],,
rm_test_alt[100228],rm_test_alt[100230],,
rm_test_alt[100228],rm_test_alt[100232],,
rm_test_alt[100228],rm_test_alt[100234],,
rm_test_alt[100228],rm_test_alt[100235],,
rm_test_alt[100232],rm_test_hidden[100437],,
rm_test_alt[100234],rm_test_alt_alt[100835],,
rm_test_alt[100228],rm_test_2[100258],,
rm_test_alt[100235],rm_test_hidden_2[100419],,
rm_test_alt_alt[100835],Flatlands MP UP (Bottom Left),,
rm_test_hidden[100437],rm_test_hidden[100438],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Grenade + grenade_boost) | Charge_Jump | Heavy_Ammo,
rm_test_hidden[100437],Flatlands HP UP (Bottom),,
rm_test_hidden[100438],rm_test_hidden[100437],,
rm_test_hidden[100438],Flatlands HP UP (Bottom),,
rm_test_hidden[100438],rm_catacombs_alt_check[100727],,
rm_catacombs_alt_check[100727],rm_catacombs_alt_check[100728],Shotgun | Rocket_Launcher | Sniper | Grappling_Hook,
rm_catacombs_alt_check[100728],rm_catacombs_alt_check[100727],,
rm_catacombs_alt_check[100728],rm_catacombs_to_moss_fall[108815],,
