from,to,requires,notes
rm_start_0[100390],rm_start_0[100397],Jump{1} | Charge_Jump,
rm_start_0[100397],rm_start_0[100390],,
rm_start_0[100397],rm_tea_intro_0[109440],,
rm_tea_intro_0[109440],rm_tea_intro_0[109441],(Charge_Jump + Heavy_Ammo) | (Charge_Jump + Jump{1}) | (Heavy_Ammo + Jump{1}) | Jump{2},
rm_tea_intro_0[109441],rm_tea_intro_0[109440],,
rm_tea_intro_0[109441],rm_tea_intro_1[109453],,
rm_start_0[100390],rm_start_1[100402],,
rm_start_1[100402],rm_start_1[100403],,
rm_start_1[100403],rm_start_1[100402],,
rm_start_1[100403],rm_start_2[100431],,
rm_start_2[100431],rm_start_2[100433],,
rm_start_2[100431],rm_start_2[100430],,
rm_start_2[100433],rm_start_2[100431],,
rm_start_2[100433],rm_start_2[100430],,
rm_start_2[100430],rm_start_2[100431],,
rm_start_2[100430],rm_start_2[100433],,
rm_start_2[100433],rm_start_2_alt[100832],,
rm_start_2[100430],rm_start_get_ability[100986],,
rm_start_get_ability[100986],rm_start_get_ability[100987],,
rm_start_get_ability[100987],rm_start_get_ability[100986],,
rm_start_get_ability[100987],rm_test_alt[100230],,
rm_test_alt[100230],rm_test_alt[100232],,
rm_test_alt[100230],rm_test_alt[100234],,
rm_test_alt[100230],rm_test_alt[100235],,
rm_test_alt[100230],rm_test_alt[100228],,
rm_test_alt[100232],rm_test_alt[100230],,
rm_test_alt[100232],rm_test_alt[100234],,
rm_test_alt[100232],rm_test_alt[100235],,
rm_test_alt[100232],rm_test_alt[100228],,
rm_test_alt[100234],rm_test_alt[100230],,
rm_test_alt[100234],rm_test_alt[100232],,
rm_test_alt[100234],rm_test_alt[100235],,
rm_test_alt[100234],rm_test_alt[100228],,
rm_test_alt[100235],rm_test_alt[100230],,
rm_test_alt[100235],rm_test_alt[100232],,
rm_test_alt[100235],rm_test_alt[100234],,
rm_test_alt[100235],rm_test_alt[100228],,
rm_test_alt[100228],rm_test_alt[100230],,
rm_test_alt[100228],rm_test_alt[100232],,
rm_test_alt[100228],rm_test_alt[100234],,
rm_test_alt[100228],rm_test_alt[100235],,
rm_test_alt[100232],rm_test_hidden[100437],,
rm_test_alt[100234],rm_test_alt_alt[100835],,
rm_test_alt[100228],rm_test_2[100258],,
rm_test_alt[100235],rm_test_hidden_2[100419],,
rm_test_alt_alt[100835],Flatlands MP UP (Bottom Left),,
rm_test_hidden[100437],rm_test_hidden[100438],Charge_Jump | (Grenade + grenade_boost) | Heavy_Ammo | Jump{1},
rm_test_hidden[100437],Flatlands HP UP (Bottom),,
rm_test_hidden[100438],rm_test_hidden[100437],,
rm_test_hidden[100438],Flatlands HP UP (Bottom),,
rm_test_hidden[100438],rm_catacombs_alt_check[100727],,
rm_catacombs_alt_check[100727],rm_catacombs_alt_check[100728],Jump{1} | Heavy_Ammo,
rm_catacombs_alt_check[100728],rm_catacombs_alt_check[100727],,
rm_catacombs_alt_check[100728],rm_catacombs_to_moss_fall[108815],,
rm_test_2[100257],rm_test_2[100258],Jump{1} | (Grenade + grenade_boost) | Charge_Jump | Heavy_Ammo | (Ruby_Slippers + precise_movement),right>bL
rm_test_2[100257],rm_test_2[100259],Jump{1} | (Grenade + grenade_boost) | Charge_Jump | Heavy_Ammo | precise_movement,right>tL
rm_test_2[100258],rm_test_2[100257],,
rm_test_2[100258],rm_test_2[100259],Jump{1} | (Grenade + grenade_boost) | Charge_Jump | Heavy_Ammo | precise_movement,bl>tL
rm_test_2[100259],rm_test_2[100257],,
rm_test_2[100259],rm_test_2[100258],Jump{1} | (Grenade + grenade_boost) | Charge_Jump | Heavy_Ammo | (Ruby_Slippers + precise_movement),tL>bL
rm_test_2[100257],rm_test_3[100281],,279:R  298:T  282:TL  281:BL
rm_test_3[100281],rm_test_3[100282],Jump{1} | Charge_Jump | Heavy_Ammo | precise_movement | (Grenade + grenade_boost + Dandelion_Bomb) | Ruby_Slippers,BL>TL
rm_test_3[100281],rm_test_3[100298],Jump{1} | Charge_Jump | damage_boost | Heavy_Ammo,BL>T
rm_test_3[100281],rm_test_3[100279],,
rm_test_3[100282],rm_test_3[100281],,
rm_test_3[100282],rm_test_3[100298],Jump{1} | Charge_Jump | damage_boost | Heavy_Ammo,TL>T
rm_test_3[100282],rm_test_3[100279],,
rm_test_3[100298],rm_test_3[100281],,
rm_test_3[100298],rm_test_3[100282],Jump{1} | Charge_Jump | Heavy_Ammo | precise_movement | (Grenade + grenade_boost + Dandelion_Bomb) | Ruby_Slippers,T>TL
rm_test_3[100298],rm_test_3[100279],,
rm_test_3[100298],rm_hidden_4[100922],,
rm_hidden_4[100922],Flatlands TP UP,Heavy_Ammo | Jump{1} | (precise_movement + Ruby_Slippers),
rm_test_3[100279],rm_test_3[100281],,
rm_test_3[100279],rm_test_3[100282],Jump{1} | Charge_Jump | Heavy_Ammo | precise_movement | (Grenade + grenade_boost + Dandelion_Bomb) | Ruby_Slippers,R>TL
rm_test_3[100279],rm_test_3[100298],Jump{1} | Charge_Jump | damage_boost | Heavy_Ammo,R>T
rm_test_3[100279],rm_test_4[100316],,
rm_test_4[100316],rm_test_4[100317],,
rm_test_4[100316],rm_test_4[100318],,
rm_test_4[100316],e_eli_1,,
rm_test_4[100317],rm_test_4[100316],,
rm_test_4[100317],rm_test_4[100318],,
rm_test_4[100317],e_eli_1,,
rm_test_4[100318],rm_test_4[100316],,
rm_test_4[100318],rm_test_4[100317],,
rm_test_4[100318],e_eli_1,,
rm_test_4[100318],rm_test_4_alt[100347],,351:L  347:B  349:R
rm_test_4_alt[100347],rm_test_4_alt[100351],Jump{1} | Charge_Jump | Heavy_Ammo | precise_movement | Ruby_Slippers | (Grenade + grenade_boost) | damage_boost,B>L
rm_test_4_alt[100347],rm_test_4_alt[100349],,
rm_test_4_alt[100351],rm_test_4_alt[100347],,
rm_test_4_alt[100351],rm_test_4_alt[100349],,
rm_test_4_alt[100349],rm_test_4_alt[100347],,
rm_test_4_alt[100349],rm_test_4_alt[100351],Jump{1} | Charge_Jump | Heavy_Ammo | precise_movement | Ruby_Slippers | (Grenade + grenade_boost) | damage_boost,R>L
rm_test_4_alt[100351],rm_4_hidden[100856],,
rm_4_hidden[100856],rm_4_hidden[100857],Jump{1} | Charge_Jump,R>T
rm_4_hidden[100856],Flatlands MP UP (Top Right),Jump{1} | (Heavy_Ammo + precise_movement),
rm_4_hidden[100857],rm_4_hidden[100856],,
rm_4_hidden[100857],Flatlands MP UP (Top Right),Jump{1} | (Heavy_Ammo + precise_movement),
rm_4_hidden[100857],rm_4_hidden_2[102859],,
rm_test_4_alt[100349],rm_test_4_alt_2[100373],,100373:L  100383:T  100374:B  100378:R
rm_test_4_alt_2[100373],rm_test_4_alt_2[100383],Jump{2} | (Charge_Jump + Jump{1}) | (Charge_Jump + Heavy_Ammo) | (Heavy_Ammo + Jump{1}),L>T
rm_test_4_alt_2[100373],rm_test_4_alt_2[100374],,
rm_test_4_alt_2[100373],rm_test_4_alt_2[100378],Jump{1} | (Grenade + grenade_boost) | damage_boost | Heavy_Ammo | Charge_Jump,L>R
rm_test_4_alt_2[100383],rm_test_4_alt_2[100373],,
rm_test_4_alt_2[100383],rm_test_4_alt_2[100374],,
rm_test_4_alt_2[100383],rm_test_4_alt_2[100378],Jump{1} | (Grenade + grenade_boost) | damage_boost | Heavy_Ammo | Charge_Jump,T>R
rm_test_4_alt_2[100374],rm_test_4_alt_2[100373],,
rm_test_4_alt_2[100374],rm_test_4_alt_2[100383],Jump{2} | (Charge_Jump + Jump{1}) | (Charge_Jump + Heavy_Ammo) | (Heavy_Ammo + Jump{1}),B>T
rm_test_4_alt_2[100374],rm_test_4_alt_2[100378],Jump{1} | (Grenade + grenade_boost) | damage_boost | Heavy_Ammo | Charge_Jump,B>R
rm_test_4_alt_2[100378],rm_test_4_alt_2[100373],,
rm_test_4_alt_2[100378],rm_test_4_alt_2[100374],,
rm_test_4_alt_2[100378],rm_test_4_alt_2[100383],Jump{2} | (Charge_Jump + Jump{1}) | (Charge_Jump + Heavy_Ammo) | (Heavy_Ammo + Jump{1}),R>T
rm_test_4_alt_2[100378],rm_test_7_alt_2[100917],,
rm_test_4_alt_2[100383],rm_tea_party[109241],,
rm_tea_party[109241],Flatlands Thorny Wings,Jump{1} | Charge_Jump,
rm_tea_party[109241],e_tea_party,e_boss_bonnie + e_boss_war + e_boss_pestilence + e_boss_famine,
rm_test_hidden_2[100417],rm_test_hidden_2[100418],Jump{1} | Charge_Jump,>T
rm_test_hidden_2[100417],rm_test_hidden_2[100419],,
rm_test_hidden_2[100417],Flatlands HP Overload,,
rm_test_hidden_2[100418],rm_test_hidden_2[100417],,
rm_test_hidden_2[100418],rm_test_hidden_2[100419],,
rm_test_hidden_2[100418],Flatlands HP Overload,,
rm_test_hidden_2[100419],rm_test_hidden_2[100417],,
rm_test_hidden_2[100419],rm_test_hidden_2[100418],Jump{1} | Charge_Jump,>T
rm_test_hidden_2[100419],Flatlands HP Overload,,
rm_test_hidden_2[100417],rm_test_2[100259],,
rm_test_hidden_2[100418],rm_test_3_hidden[100702],,
rm_test_3_hidden[100702],rm_test_3_hidden[100703],,
rm_test_3_hidden[100702],Flatlands HP UP (Top Left),((Jump{1} | Charge_Jump) + precise_movement) | Jump{2},
rm_test_3_hidden[100703],rm_test_3_hidden[100702],,
rm_test_3_hidden[100703],Flatlands HP UP (Top Left),((Jump{1} | Charge_Jump) + precise_movement) | Jump{2},
rm_test_3_hidden[100703],rm_test_3_alt[100851],,
rm_test_3_alt[100850],rm_test_3_alt[100851],,
rm_test_3_alt[100851],rm_test_3_alt[100850],,
rm_test_3_alt[100850],rm_test_3[100282],,
rm_test_4[100317],rm_test_6_shortcut[103539],,
rm_test_6_shortcut[103538],rm_test_6_shortcut[103539],e_rm_test_6_shortcut_target,
rm_test_6_shortcut[103538],e_rm_test_6_shortcut_target,,
rm_test_6_shortcut[103539],rm_test_6_shortcut[103538],e_rm_test_6_shortcut_target,
rm_test_6_shortcut[103538],rm_test_6[100363],,
rm_test_6[100361],rm_test_6[100362],,
rm_test_6[100361],rm_test_6[100363],,
rm_test_6[100362],rm_test_6[100361],(Charge_Jump + precise_movement) | Heavy_Ammo | (Ruby_Slippers + precise_movement) | Jump{1},
rm_test_6[100362],rm_test_6[100363],(Charge_Jump + precise_movement) | Heavy_Ammo | (Ruby_Slippers + precise_movement) | Jump{1},
rm_test_6[100363],rm_test_6[100361],,
rm_test_6[100363],rm_test_6[100362],,
rm_test_5[100332],Flatlands Time Manipulator,Jump{1} | Flying,100333:B  100332:R
rm_test_5[100332],rm_test_5[100333],Jump{1} | Flying | (Ruby_Slippers + precise_movement) | (Grenade + grenade_boost + Dandelion_Bomb + (precise_movement | Ruby_Slippers)),
rm_test_5[100333],Flatlands Time Manipulator,Jump{1} | Flying | (Heavy_Ammo + Grenade + grenade_boost + Dandelion_Bomb),
rm_test_5[100333],rm_test_5[100332],Jump{1} | Ruby_Slippers | (precise_movement + Grenade + grenade_boost + Dandelion_Bomb) | Flying,
rm_test_6[100361],rm_test_5[100332],,
rm_test_6[100362],rm_test_7[100444],,100444:L  100445:R  100446:T
rm_test_7[100444],rm_test_7[100445],precise_movement | Jump{1} | Ruby_Slippers | Heavy_Ammo,L>R
rm_test_7[100444],rm_test_7[100446],Jump{1} | Charge_Jump | (Grenade + grenade_boost) | Heavy_Ammo,L>T
rm_test_7[100446],rm_test_7[100444],,
rm_test_7[100446],rm_test_7[100445],precise_movement | Jump{1} | Ruby_Slippers | Heavy_Ammo,T>R
rm_test_7[100445],rm_test_7[100444],precise_movement | Jump{1} | Ruby_Slippers | Heavy_Ammo,R>L
rm_test_7[100445],rm_test_7[100446],Jump{1} | Charge_Jump | (Grenade + grenade_boost) | Heavy_Ammo,R>T
rm_test_7[100446],rm_test_7_alt[100882],,
rm_test_7[100445],rm_test_8[100456],,
rm_test_8[100456],rm_test_8[100457],Jump{1} | Flying | (Ruby_Slippers + precise_movement),
rm_test_8[100457],rm_test_8[100456],Jump{1} | Flying | (Ruby_Slippers + precise_movement),
rm_test_8[100457],rm_test_void_0[102962],,
rm_test_void_0[102962],rm_test_void_0[102971],,
rm_test_void_0[102971],rm_test_void_0[102962],,
rm_test_void_0[102971],rm_test_void_1[102983],,
rm_test_void_1[102983],rm_test_void_1[102984],,
rm_test_void_1[102984],rm_test_void_1[102983],Jump{1} | Heavy_Ammo | damage_boost | (Grenade + grenade_boost),R>L
rm_test_void_1[102984],rm_test_void_2[103005],,
